user_id,month_index,month_of_year,income,spend,budget,budget_util,savings_rate,n_transactions,weekend_ratio,largest_txn,crypto_value,crypto_txn,spike,overspend,cat_food_dining,cat_groceries,cat_transport,cat_housing_utilities,cat_health,cat_entertainment,cat_shopping,cat_education,cat_subscriptions,cat_transfers,cat_other
0,0,3,2497.68,1625.57,1680.73,0.9672,0.3492,30,0.4619,392.04,4237.5,1,0,0,22.21,358.45,92.11,241.27,108.37,223.5,1.82,74.63,168.2,175.37,159.63
0,1,4,2346.04,1631.75,1680.73,0.9709,0.3045,27,0.4437,236.36,5520.03,0,0,0,17.36,363.11,81.81,239.9,128.79,246.96,2.73,104.18,156.87,155.66,134.39
0,2,5,2513.03,1620.82,1680.73,0.9644,0.355,29,0.4691,459.64,3791.97,3,0,0,25.23,329.03,67.91,261.35,133.5,203.54,3.82,118.35,172.64,147.65,157.8
0,3,6,2602.84,1741.25,1680.73,1.036,0.331,39,0.4538,74.53,2864.19,1,0,1,24.22,377.92,87.71,310.29,154.99,152.67,4.71,130.44,212.93,96.84,188.52
0,4,7,2417.07,1766.1,1680.73,1.0508,0.2693,31,0.4222,52.98,4171.33,1,0,1,19.64,366.32,87.9,255.9,145.39,316.79,4.53,112.67,163.91,163.97,129.08
0,5,8,2593.03,1658.86,1680.73,0.987,0.3603,19,0.4527,49.77,5087.03,0,0,0,24.75,369.81,85.11,253.54,142.97,170.0,4.4,117.07,176.31,163.26,151.64
0,6,9,2340.65,1684.6,1680.73,1.0023,0.2803,40,0.4422,50.54,5452.2,0,0,1,15.81,356.18,88.42,260.95,127.61,281.68,3.59,101.26,182.91,157.24,108.96
0,7,10,2568.82,1624.4,1680.73,0.9665,0.3676,26,0.4263,155.4,6235.32,1,0,0,32.12,315.77,83.78,268.3,139.72,200.49,3.07,106.39,178.94,160.57,135.25
0,8,11,2339.75,1663.7,1680.73,0.9899,0.2889,36,0.4582,247.28,7611.67,0,0,0,17.04,376.69,92.74,249.79,111.98,259.2,4.89,114.25,169.17,130.34,137.6
0,9,12,2325.68,2037.0,1680.73,1.212,0.1241,50,0.4932,254.09,8353.94,2,0,1,25.6,380.1,120.82,275.86,182.71,368.5,5.5,118.51,197.93,244.05,117.42
0,10,1,2414.96,1514.13,1680.73,0.9009,0.373,42,0.4589,558.26,11612.27,0,0,0,21.17,373.18,70.62,240.49,133.34,172.61,4.76,101.13,164.54,131.69,100.59
0,11,2,2699.1,1515.51,1680.73,0.9017,0.4385,28,0.442,675.24,10702.05,1,0,0,17.89,344.03,70.39,232.09,134.48,187.66,3.24,100.78,160.7,136.49,127.77
0,12,3,2392.42,1616.74,1680.73,0.9619,0.3242,29,0.4903,306.2,11422.32,2,0,0,19.66,387.61,83.38,295.51,138.77,145.04,3.17,103.58,185.25,133.69,121.06
0,13,4,2655.28,1713.63,1680.73,1.0196,0.3546,32,0.5972,404.81,13641.26,0,0,1,21.52,379.94,90.45,258.4,142.35,290.07,3.01,100.75,167.84,125.08,134.23
0,14,5,2389.13,1736.57,1680.73,1.0332,0.2731,31,0.3665,546.49,14502.87,1,0,1,27.4,375.67,87.28,263.86,122.92,328.25,3.31,105.64,175.58,151.84,94.8
0,15,6,2700.03,1717.95,1680.73,1.0221,0.3637,30,0.4103,219.34,14579.99,2,0,1,17.26,357.0,75.21,248.24,127.03,324.43,4.93,93.13,169.2,190.88,110.63
0,16,7,2752.65,1792.64,1680.73,1.0666,0.3488,32,0.4403,158.73,17281.09,1,0,1,26.74,397.8,79.1,261.19,147.12,269.76,2.71,110.99,178.78,198.3,120.17
0,17,8,2589.96,1672.37,1680.73,0.995,0.3543,24,0.4023,498.28,17790.03,4,0,0,25.98,265.27,66.44,236.8,135.35,334.86,3.23,95.21,165.11,178.2,165.92
0,18,9,2668.75,2433.4,1680.73,1.4478,0.0882,37,0.5027,984.67,21127.46,0,1,1,41.03,507.68,136.66,371.75,242.33,336.2,4.43,127.79,245.03,201.22,219.28
